id,name,state,company_id,date_order,amount_total,partner_id,create_date,create_uid,classification
324,P00324,cancel,2,2026-02-13 10:00:00,170143000.00,111,2026-07-27 15:21:22.779132,2,VALID_PORTFOLIO
325,P00325,purchase,2,2026-03-27 10:00:00,156692000.00,132,2026-07-27 15:21:29.445767,2,VALID_PORTFOLIO
326,P00326,purchase,2,2026-03-21 10:00:00,180057000.00,113,2026-07-27 15:21:36.421759,2,VALID_PORTFOLIO
327,P00327,purchase,2,2026-03-26 10:00:00,314288000.00,113,2026-07-27 15:21:43.387232,2,VALID_PORTFOLIO
328,P00328,purchase,2,2026-03-21 10:00:00,82596000.00,124,2026-07-27 15:21:50.437154,2,VALID_PORTFOLIO
329,P00329,purchase,2,2026-03-22 10:00:00,93322000.00,128,2026-07-27 15:21:57.416923,2,VALID_PORTFOLIO
330,P00330,purchase,2,2026-03-28 10:00:00,41167000.00,114,2026-07-27 15:22:04.225555,2,VALID_PORTFOLIO
331,P00331,purchase,2,2026-03-13 10:00:00,57006000.00,114,2026-07-27 15:22:11.130746,2,VALID_PORTFOLIO
332,P00332,draft,2,2026-03-24 10:00:00,103190000.00,114,2026-07-27 15:22:18.197509,2,VALID_PORTFOLIO
333,P00333,purchase,2,2026-03-12 10:00:00,415653000.00,110,2026-07-27 15:22:22.581111,2,VALID_PORTFOLIO
334,P00334,purchase,2,2026-03-14 10:00:00,159404000.00,111,2026-07-27 15:22:29.582003,2,VALID_PORTFOLIO
335,P00335,purchase,2,2026-03-15 10:00:00,300472000.00,122,2026-07-27 15:22:36.541529,2,VALID_PORTFOLIO
336,P00336,purchase,2,2026-03-01 10:00:00,173917000.00,115,2026-07-27 15:22:43.427638,2,VALID_PORTFOLIO
337,P00337,purchase,2,2026-03-26 10:00:00,62499000.00,115,2026-07-27 15:22:50.415043,2,VALID_PORTFOLIO
338,P00338,purchase,2,2026-03-19 10:00:00,339303000.00,110,2026-07-27 15:22:57.444470,2,VALID_PORTFOLIO
339,P00339,cancel,2,2026-03-12 10:00:00,120026000.00,116,2026-07-27 15:23:04.654209,2,VALID_PORTFOLIO
340,P00340,purchase,2,2026-04-07 10:00:00,151774000.00,112,2026-07-27 15:23:11.412922,2,VALID_PORTFOLIO
341,P00341,purchase,2,2026-04-19 10:00:00,229805000.00,117,2026-07-27 15:23:18.533857,2,VALID_PORTFOLIO
342,P00342,purchase,2,2026-04-07 10:00:00,131270000.00,116,2026-07-27 15:23:26.098528,2,VALID_PORTFOLIO
343,P00343,cancel,2,2026-04-21 10:00:00,276451000.00,110,2026-07-27 15:23:33.266747,2,VALID_PORTFOLIO
344,P00344,purchase,2,2026-04-15 10:00:00,67553000.00,120,2026-07-27 15:23:39.968943,2,VALID_PORTFOLIO
345,P00345,purchase,2,2026-04-11 10:00:00,91027000.00,126,2026-07-27 15:23:46.923555,2,VALID_PORTFOLIO
346,P00346,purchase,2,2026-04-22 10:00:00,171416000.00,113,2026-07-27 15:23:53.865774,2,VALID_PORTFOLIO
347,P00347,purchase,2,2026-04-08 10:00:00,257530000.00,113,2026-07-27 15:24:00.919536,2,VALID_PORTFOLIO
348,P00348,purchase,2,2026-04-16 10:00:00,71780000.00,128,2026-07-27 15:24:08.069314,2,VALID_PORTFOLIO
349,P00349,purchase,2,2026-04-15 10:00:00,14306000.00,123,2026-07-27 15:24:15.112177,2,VALID_PORTFOLIO
350,P00350,purchase,2,2026-04-19 10:00:00,158287000.00,124,2026-07-27 15:24:21.934159,2,VALID_PORTFOLIO
351,P00351,purchase,2,2026-04-15 10:00:00,24509000.00,120,2026-07-27 15:24:28.745893,2,VALID_PORTFOLIO
352,P00352,purchase,2,2026-04-21 10:00:00,113917000.00,114,2026-07-27 15:24:35.587772,2,VALID_PORTFOLIO
353,P00353,purchase,2,2026-04-19 10:00:00,31676000.00,116,2026-07-27 15:24:42.571789,2,VALID_PORTFOLIO
354,P00354,purchase,2,2026-04-19 10:00:00,52578000.00,129,2026-07-27 15:24:49.328827,2,VALID_PORTFOLIO
355,P00355,purchase,2,2026-04-11 10:00:00,142355000.00,110,2026-07-27 15:24:56.244306,2,VALID_PORTFOLIO
356,P00356,purchase,2,2026-04-19 10:00:00,285076000.00,113,2026-07-27 15:25:03.191425,2,VALID_PORTFOLIO
357,P00357,purchase,2,2026-04-19 10:00:00,104363000.00,123,2026-07-27 15:25:10.256696,2,VALID_PORTFOLIO
358,P00358,purchase,2,2026-04-05 10:00:00,91172000.00,128,2026-07-27 15:25:17.236831,2,VALID_PORTFOLIO
359,P00359,purchase,2,2026-04-27 10:00:00,155355000.00,113,2026-07-27 15:25:24.117246,2,VALID_PORTFOLIO
360,P00360,purchase,2,2026-04-08 10:00:00,8460000.00,111,2026-07-27 15:25:30.901456,2,VALID_PORTFOLIO
361,P00361,purchase,2,2026-04-02 10:00:00,137213000.00,111,2026-07-27 15:25:37.673164,2,VALID_PORTFOLIO
362,P00362,purchase,2,2026-04-22 10:00:00,159014000.00,113,2026-07-27 15:25:44.646544,2,VALID_PORTFOLIO
363,P00363,purchase,2,2026-04-16 10:00:00,49990000.00,131,2026-07-27 15:25:51.563056,2,VALID_PORTFOLIO
364,P00364,purchase,2,2026-04-20 10:00:00,195984000.00,125,2026-07-27 15:25:58.363871,2,VALID_PORTFOLIO
365,P00365,purchase,2,2026-04-04 10:00:00,112959000.00,128,2026-07-27 15:26:05.234195,2,VALID_PORTFOLIO
366,P00366,purchase,2,2026-04-03 10:00:00,298753000.00,114,2026-07-27 15:26:12.112021,2,VALID_PORTFOLIO
367,P00367,purchase,2,2026-04-07 10:00:00,204830000.00,132,2026-07-27 15:26:19.039594,2,VALID_PORTFOLIO
368,P00368,purchase,2,2026-04-04 10:00:00,95428000.00,112,2026-07-27 15:26:26.235631,2,VALID_PORTFOLIO
369,P00369,purchase,2,2026-04-08 10:00:00,88193000.00,113,2026-07-27 15:26:33.244754,2,VALID_PORTFOLIO
370,P00370,purchase,2,2026-04-02 10:00:00,36396000.00,113,2026-07-27 15:26:40.085184,2,VALID_PORTFOLIO
371,P00371,purchase,2,2026-04-04 10:00:00,500010000.00,113,2026-07-27 15:26:46.827804,2,VALID_PORTFOLIO
372,P00372,purchase,2,2026-05-23 10:00:00,98008000.00,130,2026-07-27 15:26:53.812656,2,VALID_PORTFOLIO
373,P00373,purchase,2,2026-05-13 10:00:00,25326000.00,111,2026-07-27 15:27:00.701382,2,VALID_PORTFOLIO
374,P00374,purchase,2,2026-05-16 10:00:00,98864000.00,113,2026-07-27 15:27:07.660985,2,VALID_PORTFOLIO
375,P00375,purchase,2,2026-05-19 10:00:00,208753000.00,110,2026-07-27 15:27:14.610140,2,VALID_PORTFOLIO
376,P00376,purchase,2,2026-05-23 10:00:00,24175000.00,110,2026-07-27 15:27:21.461328,2,VALID_PORTFOLIO
377,P00377,purchase,2,2026-05-28 10:00:00,259448000.00,115,2026-07-27 15:27:28.306170,2,VALID_PORTFOLIO
378,P00378,purchase,2,2026-05-20 10:00:00,63004000.00,111,2026-07-27 15:27:35.245159,2,VALID_PORTFOLIO
379,P00379,purchase,2,2026-05-05 10:00:00,92625000.00,131,2026-07-27 15:27:42.103891,2,VALID_PORTFOLIO
380,P00380,purchase,2,2026-05-01 10:00:00,12233000.00,128,2026-07-27 15:27:49.220408,2,VALID_PORTFOLIO
381,P00381,purchase,2,2026-05-21 10:00:00,198963000.00,129,2026-07-27 15:27:56.275681,2,VALID_PORTFOLIO
382,P00382,purchase,2,2026-05-27 10:00:00,133400000.00,112,2026-07-27 15:28:03.304277,2,VALID_PORTFOLIO
383,P00383,purchase,2,2026-05-28 10:00:00,221970000.00,112,2026-07-27 15:28:10.233127,2,VALID_PORTFOLIO
384,P00384,purchase,2,2026-05-10 10:00:00,124877000.00,119,2026-07-27 15:28:17.251054,2,VALID_PORTFOLIO
385,P00385,purchase,2,2026-05-16 10:00:00,39842000.00,114,2026-07-27 15:28:24.539261,2,VALID_PORTFOLIO
386,P00386,purchase,2,2026-05-12 10:00:00,147270000.00,114,2026-07-27 15:28:31.735134,2,VALID_PORTFOLIO
387,P00387,purchase,2,2026-05-25 10:00:00,11768000.00,112,2026-07-27 15:28:38.944659,2,VALID_PORTFOLIO
388,P00388,purchase,2,2026-05-04 10:00:00,6660000.00,111,2026-07-27 15:28:45.849907,2,VALID_PORTFOLIO
389,P00389,purchase,2,2026-05-06 10:00:00,113943000.00,120,2026-07-27 15:28:52.758842,2,VALID_PORTFOLIO
390,P00390,purchase,2,2026-05-06 10:00:00,164717000.00,117,2026-07-27 15:28:59.800524,2,VALID_PORTFOLIO
391,P00391,purchase,2,2026-05-25 10:00:00,243042000.00,122,2026-07-27 15:29:06.906281,2,VALID_PORTFOLIO
392,P00392,purchase,2,2026-05-16 10:00:00,397052000.00,122,2026-07-27 15:29:13.898243,2,VALID_PORTFOLIO
393,P00393,purchase,2,2026-05-27 10:00:00,154711000.00,111,2026-07-27 15:29:21.232341,2,VALID_PORTFOLIO
394,P00394,purchase,2,2026-05-11 10:00:00,123546000.00,117,2026-07-27 15:29:28.815735,2,VALID_PORTFOLIO
395,P00395,purchase,2,2026-05-17 10:00:00,87913000.00,127,2026-07-27 15:29:35.758646,2,VALID_PORTFOLIO
396,P00396,draft,2,2026-05-23 10:00:00,124583000.00,111,2026-07-27 15:29:42.812917,2,VALID_PORTFOLIO
397,P00397,purchase,2,2026-05-11 10:00:00,160997000.00,123,2026-07-27 15:29:47.365202,2,VALID_PORTFOLIO
398,P00398,purchase,2,2026-05-28 10:00:00,14440000.00,111,2026-07-27 15:29:54.463072,2,VALID_PORTFOLIO
399,P00399,purchase,2,2026-05-03 10:00:00,8587000.00,112,2026-07-27 15:30:01.323064,2,VALID_PORTFOLIO
400,P00400,draft,2,2026-06-14 10:00:00,100968000.00,117,2026-07-27 15:30:08.328380,2,VALID_PORTFOLIO
401,P00401,purchase,2,2026-06-19 10:00:00,284455000.00,110,2026-07-27 15:30:12.919684,2,VALID_PORTFOLIO
402,P00402,purchase,2,2026-06-10 10:00:00,301664000.00,122,2026-07-27 15:30:20.037899,2,VALID_PORTFOLIO
403,P00403,cancel,2,2026-06-14 10:00:00,206221000.00,131,2026-07-27 15:30:27.033143,2,VALID_PORTFOLIO
404,P00404,purchase,2,2026-06-05 10:00:00,11274000.00,112,2026-07-27 15:30:33.761319,2,VALID_PORTFOLIO
405,P00405,purchase,2,2026-06-10 10:00:00,203815000.00,121,2026-07-27 15:30:40.560959,2,VALID_PORTFOLIO
406,P00406,purchase,2,2026-06-04 10:00:00,196436000.00,110,2026-07-27 15:30:47.510908,2,VALID_PORTFOLIO
407,P00407,purchase,2,2026-06-14 10:00:00,225263000.00,113,2026-07-27 15:30:54.572390,2,VALID_PORTFOLIO
408,P00408,purchase,2,2026-06-18 10:00:00,232295000.00,127,2026-07-27 15:31:01.511625,2,VALID_PORTFOLIO
409,P00409,cancel,2,2026-06-14 10:00:00,81400000.00,119,2026-07-27 15:31:08.458202,2,VALID_PORTFOLIO
410,P00410,purchase,2,2026-06-24 10:00:00,68939000.00,115,2026-07-27 15:31:15.174256,2,VALID_PORTFOLIO
411,P00411,draft,2,2026-06-25 10:00:00,132224000.00,116,2026-07-27 15:31:22.018709,2,VALID_PORTFOLIO
412,P00412,purchase,2,2026-06-09 10:00:00,72711000.00,114,2026-07-27 15:31:26.495528,2,VALID_PORTFOLIO
413,P00413,draft,2,2026-06-16 10:00:00,274131000.00,113,2026-07-27 15:31:33.369765,2,VALID_PORTFOLIO
414,P00414,purchase,2,2026-06-22 10:00:00,176163000.00,111,2026-07-27 15:31:37.977895,2,VALID_PORTFOLIO
415,P00415,draft,2,2026-06-16 10:00:00,72904000.00,117,2026-07-27 15:31:45.100360,2,VALID_PORTFOLIO
416,P00416,draft,2,2026-06-28 10:00:00,68661000.00,110,2026-07-27 15:31:49.596907,2,VALID_PORTFOLIO
417,P00417,purchase,2,2026-06-23 10:00:00,152414000.00,114,2026-07-27 15:31:54.008298,2,VALID_PORTFOLIO
418,P00418,draft,2,2026-06-20 10:00:00,175055000.00,124,2026-07-27 15:32:01.099589,2,VALID_PORTFOLIO
419,P00419,purchase,2,2026-06-11 10:00:00,191809000.00,112,2026-07-27 15:32:05.661180,2,VALID_PORTFOLIO
420,P00420,cancel,2,2026-07-10 10:00:00,87119000.00,122,2026-07-27 15:32:12.592259,2,VALID_PORTFOLIO
421,P00421,purchase,2,2026-07-01 10:00:00,230575000.00,111,2026-07-27 15:32:19.205153,2,VALID_PORTFOLIO
422,P00422,purchase,2,2026-07-10 10:00:00,385436000.00,112,2026-07-27 15:32:26.504950,2,VALID_PORTFOLIO
423,P00423,purchase,2,2026-07-12 10:00:00,114566000.00,110,2026-07-27 15:32:33.786417,2,VALID_PORTFOLIO
424,P00424,cancel,2,2026-07-18 10:00:00,232111000.00,110,2026-07-27 15:32:40.615338,2,VALID_PORTFOLIO
425,P00425,purchase,2,2026-07-08 10:00:00,266806000.00,122,2026-07-27 15:32:47.244625,2,VALID_PORTFOLIO
426,P00426,purchase,2,2026-07-18 10:00:00,81040000.00,121,2026-07-27 15:32:54.117378,2,VALID_PORTFOLIO
427,P00427,purchase,2,2026-07-23 10:00:00,7017000.00,129,2026-07-27 15:33:01.102659,2,VALID_PORTFOLIO
428,P00428,purchase,2,2026-07-20 10:00:00,240669000.00,110,2026-07-27 15:33:08.004898,2,VALID_PORTFOLIO
429,P00429,purchase,2,2026-07-16 10:00:00,104499000.00,130,2026-07-27 15:33:15.042220,2,VALID_PORTFOLIO
430,P00430,purchase,2,2026-07-17 10:00:00,9472000.00,124,2026-07-27 15:33:22.342343,2,VALID_PORTFOLIO
431,P00431,purchase,2,2026-07-17 10:00:00,211883000.00,117,2026-07-27 15:33:29.389040,2,VALID_PORTFOLIO
432,P00432,purchase,2,2026-07-22 10:00:00,125649000.00,115,2026-07-27 15:33:36.392548,2,VALID_PORTFOLIO
433,P00433,purchase,2,2026-07-05 10:00:00,162640000.00,112,2026-07-27 15:33:43.195946,2,VALID_PORTFOLIO
434,P00434,purchase,2,2026-07-01 10:00:00,14174000.00,113,2026-07-27 15:33:50.063113,2,VALID_PORTFOLIO
435,P00435,purchase,2,2026-07-12 10:00:00,6184000.00,125,2026-07-27 15:33:56.818482,2,VALID_PORTFOLIO
436,P00436,purchase,2,2026-07-15 10:00:00,116096000.00,114,2026-07-27 15:34:03.789779,2,VALID_PORTFOLIO
437,P00437,purchase,2,2026-07-26 10:00:00,1848000.00,119,2026-07-27 15:34:10.791176,2,VALID_PORTFOLIO
438,P00438,purchase,2,2026-08-18 10:00:00,22425000.00,110,2026-07-27 15:34:17.587047,2,VALID_PORTFOLIO
439,P00439,purchase,2,2026-08-02 10:00:00,325025000.00,111,2026-07-27 15:34:24.367029,2,VALID_PORTFOLIO
440,P00440,purchase,2,2026-08-07 10:00:00,10498000.00,111,2026-07-27 15:34:31.582747,2,VALID_PORTFOLIO
441,P00441,draft,2,2026-08-05 10:00:00,14361000.00,111,2026-07-27 15:34:38.437757,2,VALID_PORTFOLIO
442,P00442,cancel,2,2026-08-20 10:00:00,11212000.00,119,2026-07-27 15:34:42.888003,2,VALID_PORTFOLIO
443,P00443,purchase,2,2026-08-08 10:00:00,15139000.00,114,2026-07-27 15:34:49.512542,2,VALID_PORTFOLIO
444,P00444,purchase,2,2026-08-09 10:00:00,135469000.00,114,2026-07-27 15:34:56.350875,2,VALID_PORTFOLIO
445,P00445,purchase,2,2026-08-13 10:00:00,192188000.00,121,2026-07-27 15:35:03.862047,2,VALID_PORTFOLIO
446,P00446,purchase,2,2026-08-04 10:00:00,206261000.00,118,2026-07-27 15:35:10.967666,2,VALID_PORTFOLIO
447,P00447,cancel,2,2026-08-10 10:00:00,164083000.00,113,2026-07-27 15:35:18.112238,2,VALID_PORTFOLIO
448,P00448,purchase,2,2026-08-26 10:00:00,152698000.00,123,2026-07-27 15:35:24.863220,2,VALID_PORTFOLIO
449,P00449,purchase,2,2026-08-09 10:00:00,59215000.00,124,2026-07-27 15:35:32.088284,2,VALID_PORTFOLIO
450,P00450,purchase,2,2026-08-02 10:00:00,430084000.00,110,2026-07-27 15:35:38.820185,2,VALID_PORTFOLIO
451,P00451,purchase,2,2026-08-05 10:00:00,5483000.00,124,2026-07-27 15:35:45.748481,2,VALID_PORTFOLIO
452,P00452,purchase,2,2026-08-04 10:00:00,49015000.00,118,2026-07-27 15:35:52.626160,2,VALID_PORTFOLIO
453,P00453,purchase,2,2026-08-03 10:00:00,241385000.00,125,2026-07-27 15:35:59.464092,2,VALID_PORTFOLIO
454,P00454,purchase,2,2026-08-19 10:00:00,6392000.00,111,2026-07-27 15:36:06.433646,2,VALID_PORTFOLIO
455,P00455,purchase,2,2026-09-14 10:00:00,286514000.00,115,2026-07-27 15:36:13.181751,2,VALID_PORTFOLIO
456,P00456,purchase,2,2026-09-21 10:00:00,18922000.00,112,2026-07-27 15:36:20.364982,2,VALID_PORTFOLIO
457,P00457,purchase,2,2026-09-07 10:00:00,220636000.00,113,2026-07-27 15:36:27.266864,2,VALID_PORTFOLIO
458,P00458,purchase,2,2026-09-21 10:00:00,168818000.00,114,2026-07-27 15:36:34.194947,2,VALID_PORTFOLIO
459,P00459,purchase,2,2026-09-06 10:00:00,128264000.00,119,2026-07-27 15:36:41.204760,2,VALID_PORTFOLIO
460,P00460,purchase,2,2026-09-01 10:00:00,327923000.00,118,2026-07-27 15:36:48.228103,2,VALID_PORTFOLIO
461,P00461,purchase,2,2026-09-24 10:00:00,159246000.00,113,2026-07-27 15:36:55.240542,2,VALID_PORTFOLIO
462,P00462,purchase,2,2026-09-08 10:00:00,35915000.00,123,2026-07-27 15:37:02.110392,2,VALID_PORTFOLIO
463,P00463,purchase,2,2026-09-10 10:00:00,67316000.00,112,2026-07-27 15:37:09.183348,2,VALID_PORTFOLIO
464,P00464,purchase,2,2026-09-12 10:00:00,21674000.00,111,2026-07-27 15:37:15.950705,2,VALID_PORTFOLIO
465,P00465,purchase,2,2026-09-26 10:00:00,79833000.00,123,2026-07-27 15:37:22.734046,2,VALID_PORTFOLIO
466,P00466,purchase,2,2026-09-16 10:00:00,201592000.00,120,2026-07-27 15:37:29.541397,2,VALID_PORTFOLIO
467,P00467,purchase,2,2026-09-19 10:00:00,160452000.00,110,2026-07-27 15:37:36.519382,2,VALID_PORTFOLIO
468,P00468,purchase,2,2026-09-07 10:00:00,236958000.00,110,2026-07-27 15:37:43.394989,2,VALID_PORTFOLIO
469,P00469,purchase,2,2026-09-06 10:00:00,197443000.00,114,2026-07-27 15:37:50.397106,2,VALID_PORTFOLIO
470,P00470,purchase,2,2026-09-16 10:00:00,32181000.00,112,2026-07-27 15:37:57.214328,2,VALID_PORTFOLIO
471,P00471,purchase,2,2026-09-19 10:00:00,22291000.00,111,2026-07-27 15:38:04.223279,2,VALID_PORTFOLIO
472,P00472,purchase,2,2026-09-05 10:00:00,38441000.00,112,2026-07-27 15:38:11.264017,2,VALID_PORTFOLIO
473,P00473,purchase,2,2026-10-23 10:00:00,81454000.00,111,2026-07-27 15:38:18.070783,2,VALID_PORTFOLIO
474,P00474,purchase,2,2026-10-07 10:00:00,160575000.00,114,2026-07-27 15:38:24.829899,2,VALID_PORTFOLIO
475,P00475,purchase,2,2026-10-11 10:00:00,74602000.00,113,2026-07-27 15:38:31.894189,2,VALID_PORTFOLIO
476,P00476,purchase,2,2026-10-03 10:00:00,224464000.00,110,2026-07-27 15:38:38.733944,2,VALID_PORTFOLIO
477,P00477,purchase,2,2026-10-20 10:00:00,83223000.00,112,2026-07-27 15:38:45.584431,2,VALID_PORTFOLIO
478,P00478,purchase,2,2026-10-13 10:00:00,122727000.00,112,2026-07-27 15:38:52.528751,2,VALID_PORTFOLIO
479,P00479,purchase,2,2026-10-11 10:00:00,102972000.00,118,2026-07-27 15:38:59.491957,2,VALID_PORTFOLIO
480,P00480,purchase,2,2026-10-19 10:00:00,252196000.00,110,2026-07-27 15:39:06.401170,2,VALID_PORTFOLIO
481,P00481,purchase,2,2026-10-18 10:00:00,251854000.00,116,2026-07-27 15:39:13.472475,2,VALID_PORTFOLIO
482,P00482,purchase,2,2026-10-12 10:00:00,15160000.00,114,2026-07-27 15:39:20.284826,2,VALID_PORTFOLIO
483,P00483,purchase,2,2026-10-19 10:00:00,85547000.00,121,2026-07-27 15:39:27.106957,2,VALID_PORTFOLIO
484,P00484,purchase,2,2026-10-24 10:00:00,112022000.00,129,2026-07-27 15:39:34.073768,2,VALID_PORTFOLIO
485,P00485,purchase,2,2026-10-04 10:00:00,132285000.00,111,2026-07-27 15:39:40.868999,2,VALID_PORTFOLIO
486,P00486,purchase,2,2026-10-07 10:00:00,269655000.00,121,2026-07-27 15:39:48.034849,2,VALID_PORTFOLIO
487,P00487,purchase,2,2026-10-16 10:00:00,57167000.00,120,2026-07-27 15:39:55.177633,2,VALID_PORTFOLIO
488,P00488,purchase,2,2026-10-01 10:00:00,185541000.00,112,2026-07-27 15:40:01.996684,2,VALID_PORTFOLIO
489,P00489,purchase,2,2026-10-16 10:00:00,25568000.00,121,2026-07-27 15:40:09.259959,2,VALID_PORTFOLIO
490,P00490,purchase,2,2026-10-26 10:00:00,374042000.00,122,2026-07-27 15:40:16.162894,2,VALID_PORTFOLIO
491,P00491,purchase,2,2026-11-09 10:00:00,115264000.00,121,2026-07-27 15:40:23.119042,2,VALID_PORTFOLIO
492,P00492,purchase,2,2026-11-16 10:00:00,70552000.00,123,2026-07-27 15:40:30.135517,2,VALID_PORTFOLIO
493,P00493,purchase,2,2026-11-20 10:00:00,489501000.00,122,2026-07-27 15:40:37.128577,2,VALID_PORTFOLIO
494,P00494,purchase,2,2026-11-19 10:00:00,58177000.00,119,2026-07-27 15:40:44.273415,2,VALID_PORTFOLIO
495,P00495,purchase,2,2026-11-08 10:00:00,9591000.00,132,2026-07-27 15:40:51.301127,2,VALID_PORTFOLIO
496,P00496,purchase,2,2026-11-17 10:00:00,158327000.00,112,2026-07-27 15:40:58.339883,2,VALID_PORTFOLIO
497,P00497,purchase,2,2026-11-06 10:00:00,332949000.00,110,2026-07-27 15:41:05.579582,2,VALID_PORTFOLIO
498,P00498,purchase,2,2026-11-17 10:00:00,181212000.00,121,2026-07-27 15:41:12.594002,2,VALID_PORTFOLIO
499,P00499,purchase,2,2026-11-07 10:00:00,314693000.00,112,2026-07-27 15:41:19.719994,2,VALID_PORTFOLIO
500,P00500,purchase,2,2026-11-06 10:00:00,80234000.00,114,2026-07-27 15:41:26.892902,2,VALID_PORTFOLIO
501,P00501,purchase,2,2026-11-16 10:00:00,28116000.00,110,2026-07-27 15:41:33.816364,2,VALID_PORTFOLIO
502,P00502,purchase,2,2026-11-01 10:00:00,78192000.00,110,2026-07-27 15:41:40.694884,2,VALID_PORTFOLIO
503,P00503,purchase,2,2026-11-22 10:00:00,26285000.00,114,2026-07-27 15:41:47.542836,2,VALID_PORTFOLIO
504,P00504,purchase,2,2026-11-17 10:00:00,33426000.00,111,2026-07-27 15:41:54.440884,2,VALID_PORTFOLIO
505,P00505,purchase,2,2026-11-18 10:00:00,242451000.00,110,2026-07-27 15:42:01.220352,2,VALID_PORTFOLIO
