current_path,proposed_path,proposed_name,language,imported_by,invokes_other_scripts,hardcoded_paths,top_level_execution,database_read,database_write,odoo_xmlrpc_read,odoo_xmlrpc_write,filesystem_write,subprocess_usage,runtime_category,move_status,notes
custom_addons\obidss_operational_bi\hooks.py,scripts/hooks.py,hooks.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
custom_addons\obidss_operational_bi\__init__.py,scripts/__init__.py,__init__.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
custom_addons\obidss_operational_bi\__manifest__.py,scripts/__manifest__.py,__manifest__.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
custom_addons\obidss_operational_bi\models\obidss_data_quality.py,scripts/obidss_data_quality.py,obidss_data_quality.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
custom_addons\obidss_operational_bi\models\__init__.py,scripts/__init__.py,__init__.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\check_v2_progress.py,ERP-BIDSS\check_v2_progress.py,check_v2_progress.py,Python,None,False,False,Protected,True,False,False,False,False,False,VALIDATOR_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\fix_odoo_order_dates.py,ERP-BIDSS\fix_odoo_order_dates.py,fix_odoo_order_dates.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\inspect_fact_sales.py,ERP-BIDSS\inspect_fact_sales.py,inspect_fact_sales.py,Python,None,False,False,Protected,True,False,False,False,False,False,VALIDATOR_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\test_odoo_xmlrpc.py,ERP-BIDSS\test_odoo_xmlrpc.py,test_odoo_xmlrpc.py,Python,None,False,False,Protected,True,False,False,False,False,False,TEST_INTEGRATION,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\test_portfolio_scope.py,ERP-BIDSS\test_portfolio_scope.py,test_portfolio_scope.py,Python,None,False,False,Protected,True,False,False,False,False,False,TEST_INTEGRATION,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\verify_approved_forecast.py,ERP-BIDSS\verify_approved_forecast.py,verify_approved_forecast.py,Python,None,False,False,Protected,True,False,False,False,False,False,VALIDATOR_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\fix_dashboard.py,ERP-BIDSS\backend\fix_dashboard.py,fix_dashboard.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\generate_extra_transactions_v2.py,ERP-BIDSS\backend\generate_extra_transactions_v2.py,generate_extra_transactions_v2.py,Python,None,False,False,Protected,True,False,False,False,False,False,PIPELINE,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\run_etl.py,ERP-BIDSS\backend\run_etl.py,run_etl.py,Python,None,False,False,Protected,True,False,False,False,False,False,PIPELINE,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\run_phase8.py,ERP-BIDSS\backend\run_phase8.py,run_phase8.py,Python,None,False,False,Protected,True,False,False,False,False,False,PIPELINE,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\analytics\benchmark_forecast_models.py,ERP-BIDSS\backend\analytics\benchmark_forecast_models.py,benchmark_forecast_models.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\analytics\build_aggregation.py,ERP-BIDSS\backend\analytics\build_aggregation.py,build_aggregation.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\analytics\build_dimension.py,ERP-BIDSS\backend\analytics\build_dimension.py,build_dimension.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\analytics\build_fact.py,ERP-BIDSS\backend\analytics\build_fact.py,build_fact.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\analytics\build_relationship.py,ERP-BIDSS\backend\analytics\build_relationship.py,build_relationship.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\analytics\calculate_decision_support.py,ERP-BIDSS\backend\analytics\calculate_decision_support.py,calculate_decision_support.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\analytics\calculate_supplier_score.py,ERP-BIDSS\backend\analytics\calculate_supplier_score.py,calculate_supplier_score.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\analytics\validate_dataset_scenario.py,ERP-BIDSS\backend\analytics\validate_dataset_scenario.py,validate_dataset_scenario.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\analytics\validate_mart.py,ERP-BIDSS\backend\analytics\validate_mart.py,validate_mart.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\analytics\__init__.py,ERP-BIDSS\backend\analytics\__init__.py,__init__.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\app\main.py,ERP-BIDSS\backend\app\main.py,main.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\app\analytics\decision.py,ERP-BIDSS\backend\app\analytics\decision.py,decision.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\app\analytics\kpi.py,ERP-BIDSS\backend\app\analytics\kpi.py,kpi.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\app\api\endpoints.py,ERP-BIDSS\backend\app\api\endpoints.py,endpoints.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\app\database\connection.py,ERP-BIDSS\backend\app\database\connection.py,connection.py,Python,None,False,False,Protected,True,False,False,False,False,False,CORE_RUNTIME,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\app\etl\extract.py,ERP-BIDSS\backend\app\etl\extract.py,extract.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\app\etl\load.py,ERP-BIDSS\backend\app\etl\load.py,load.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\app\etl\scheduler.py,ERP-BIDSS\backend\app\etl\scheduler.py,scheduler.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\app\etl\transform.py,ERP-BIDSS\backend\app\etl\transform.py,transform.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\app\models\schema.py,ERP-BIDSS\backend\app\models\schema.py,schema.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\config\database.py,ERP-BIDSS\backend\config\database.py,database.py,Python,None,False,False,Protected,True,False,False,False,False,False,CORE_RUNTIME,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\config\settings.py,ERP-BIDSS\backend\config\settings.py,settings.py,Python,None,False,False,Protected,True,False,False,False,False,False,CORE_RUNTIME,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\config\__init__.py,ERP-BIDSS\backend\config\__init__.py,__init__.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\etl\extract.py,ERP-BIDSS\backend\etl\extract.py,extract.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\etl\load.py,ERP-BIDSS\backend\etl\load.py,load.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\etl\logger.py,ERP-BIDSS\backend\etl\logger.py,logger.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\etl\pipeline.py,ERP-BIDSS\backend\etl\pipeline.py,pipeline.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\etl\transform.py,ERP-BIDSS\backend\etl\transform.py,transform.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\etl\__init__.py,ERP-BIDSS\backend\etl\__init__.py,__init__.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\odoo\audit_logic.py,ERP-BIDSS\backend\odoo\audit_logic.py,audit_logic.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\odoo\cleanup_bidss_legacy.py,ERP-BIDSS\backend\odoo\cleanup_bidss_legacy.py,cleanup_bidss_legacy.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\odoo\cleanup_portfolio_data.py,ERP-BIDSS\backend\odoo\cleanup_portfolio_data.py,cleanup_portfolio_data.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\odoo\connection.py,ERP-BIDSS\backend\odoo\connection.py,connection.py,Python,None,False,False,Protected,True,False,False,False,False,False,CORE_RUNTIME,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\odoo\repair_odoo_records.py,ERP-BIDSS\backend\odoo\repair_odoo_records.py,repair_odoo_records.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\odoo\revise_product_prices.py,ERP-BIDSS\backend\odoo\revise_product_prices.py,revise_product_prices.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\odoo\setup_company.py,ERP-BIDSS\backend\odoo\setup_company.py,setup_company.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\odoo\setup_partners.py,ERP-BIDSS\backend\odoo\setup_partners.py,setup_partners.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\odoo\setup_products.py,ERP-BIDSS\backend\odoo\setup_products.py,setup_products.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\phase11\create_odoo_transactions_v2.py,ERP-BIDSS\backend\phase11\create_odoo_transactions_v2.py,create_odoo_transactions_v2.py,Python,None,False,False,Protected,True,False,False,False,False,False,PIPELINE,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\phase11\dryrun_scenario_v2.py,ERP-BIDSS\backend\phase11\dryrun_scenario_v2.py,dryrun_scenario_v2.py,Python,None,False,False,Protected,True,False,False,False,False,False,PIPELINE,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\phase11\run_etl_and_benchmark_v2.py,ERP-BIDSS\backend\phase11\run_etl_and_benchmark_v2.py,run_etl_and_benchmark_v2.py,Python,None,False,False,Protected,True,False,False,False,False,False,PIPELINE,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\phase9\batch_tags.py,ERP-BIDSS\backend\phase9\batch_tags.py,batch_tags.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\phase9\cleanup_phase9.py,ERP-BIDSS\backend\phase9\cleanup_phase9.py,cleanup_phase9.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\phase9\config.py,ERP-BIDSS\backend\phase9\config.py,config.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\phase9\customer_allocator.py,ERP-BIDSS\backend\phase9\customer_allocator.py,customer_allocator.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\phase9\demand_planner.py,ERP-BIDSS\backend\phase9\demand_planner.py,demand_planner.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\phase9\event_scheduler.py,ERP-BIDSS\backend\phase9\event_scheduler.py,event_scheduler.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\phase9\inventory_ops.py,ERP-BIDSS\backend\phase9\inventory_ops.py,inventory_ops.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\phase9\opening_inventory.py,ERP-BIDSS\backend\phase9\opening_inventory.py,opening_inventory.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\phase9\purchase_generator.py,ERP-BIDSS\backend\phase9\purchase_generator.py,purchase_generator.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\phase9\run_phase9.py,ERP-BIDSS\backend\phase9\run_phase9.py,run_phase9.py,Python,None,False,False,Protected,True,False,False,False,False,False,PIPELINE,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\phase9\sales_generator.py,ERP-BIDSS\backend\phase9\sales_generator.py,sales_generator.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\phase9\supplier_allocator.py,ERP-BIDSS\backend\phase9\supplier_allocator.py,supplier_allocator.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\phase9\__init__.py,ERP-BIDSS\backend\phase9\__init__.py,__init__.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\scratch\attach_valid_spreadsheet_json.py,ERP-BIDSS\backend\scratch\attach_valid_spreadsheet_json.py,attach_valid_spreadsheet_json.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\scratch\audit_dashboards.py,ERP-BIDSS\backend\scratch\audit_dashboards.py,audit_dashboards.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\scratch\audit_data_scope.py,ERP-BIDSS\backend\scratch\audit_data_scope.py,audit_data_scope.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\scratch\audit_phase11_2.py,ERP-BIDSS\backend\scratch\audit_phase11_2.py,audit_phase11_2.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\scratch\build_all_real_dashboards.py,ERP-BIDSS\backend\scratch\build_all_real_dashboards.py,build_all_real_dashboards.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\scratch\build_all_remaining_dashboards.py,ERP-BIDSS\backend\scratch\build_all_remaining_dashboards.py,build_all_remaining_dashboards.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\scratch\build_real_dashboards.py,ERP-BIDSS\backend\scratch\build_real_dashboards.py,build_real_dashboards.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\scratch\build_sales_pilot_dashboard.py,ERP-BIDSS\backend\scratch\build_sales_pilot_dashboard.py,build_sales_pilot_dashboard.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\scratch\create_fresh_clone_db.py,ERP-BIDSS\backend\scratch\create_fresh_clone_db.py,create_fresh_clone_db.py,Python,None,False,False,Protected,True,False,False,False,False,False,PIPELINE,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\scratch\data_truth_check.py,ERP-BIDSS\backend\scratch\data_truth_check.py,data_truth_check.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\scratch\deep_audit_stage1.py,ERP-BIDSS\backend\scratch\deep_audit_stage1.py,deep_audit_stage1.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
ERP-BIDSS\backend\scratch\deep_dataset_audit.py,ERP-BIDSS\backend\scratch\deep_dataset_audit.py,deep_dataset_audit.py,Python,None,False,False,Protected,True,False,False,False,False,False,DIAGNOSTIC_READ_ONLY,CLASSIFIED,Phase 2 static analysis completed
