current_path,file_name,purpose,contains_runtime_instruction,contains_unique_technical_content,contains_assistant_terminology,contains_conversation,replacement_document,classification,approved_for_deletion,notes
docs\phase11_1\phase11_1_completion_report.md,phase11_1_completion_report.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_1\powerbi_manual_validation.md,powerbi_manual_validation.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_1\rollback_plan.md,rollback_plan.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_1\scenario_validation_report.md,scenario_validation_report.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2\current_menu_inventory.md,current_menu_inventory.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2\custom_addon_file_plan.md,custom_addon_file_plan.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2\dashboard_data_source_audit.md,dashboard_data_source_audit.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2\dashboard_information_architecture.md,dashboard_information_architecture.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2\dashboard_kpi_visual_contract.md,dashboard_kpi_visual_contract.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2\environment_audit.md,environment_audit.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2\implementation_plan.md,implementation_plan.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2\module_upgrade_plan.md,module_upgrade_plan.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2\odoo_dashboard_reconciliation_plan.md,odoo_dashboard_reconciliation_plan.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2\risk_register.md,risk_register.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2\rollback_plan.md,rollback_plan.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2\strategy_feasibility_matrix.md,strategy_feasibility_matrix.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2\target_menu_access_matrix.md,target_menu_access_matrix.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2\ui_test_plan.md,ui_test_plan.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_execution\addon_baseline.md,addon_baseline.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_execution\authoritative_data_scope.md,authoritative_data_scope.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_execution\clone_baseline.md,clone_baseline.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_execution\dashboard_validation_report.md,dashboard_validation_report.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_execution\kpi_reconciliation.md,kpi_reconciliation.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_execution\menu_visibility_result.md,menu_visibility_result.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_execution\sales_pilot_result.md,sales_pilot_result.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_execution\stage2a_completion_report.md,stage2a_completion_report.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_live\canonical_module_runtime.md,canonical_module_runtime.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_live\dashboard_field_contract.md,dashboard_field_contract.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_live\final_data_truth.md,final_data_truth.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_live\finance_exclusion.md,finance_exclusion.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_live\fresh_clone_reproduction.md,fresh_clone_reproduction.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_live\generated_artifact_provenance.md,generated_artifact_provenance.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_live\orphan_attachment_cleanup_plan.md,orphan_attachment_cleanup_plan.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_live\remaining_dashboard_results.md,remaining_dashboard_results.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_live\sales_browser_validation.md,sales_browser_validation.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_live\sales_dynamic_test.md,sales_dynamic_test.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_live\sales_filter_test.md,sales_filter_test.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_live\sales_payload_anatomy.md,sales_payload_anatomy.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_live\sales_ui_build_log.md,sales_ui_build_log.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_live\stage2e_completion_report.md,stage2e_completion_report.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_primary\code_hash_comparison.md,code_hash_comparison.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_primary\finance_data_availability.md,finance_data_availability.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_primary\primary_backup_verification.md,primary_backup_verification.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_primary\primary_deployment_report.md,primary_deployment_report.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_primary\primary_kpi_reconciliation.md,primary_kpi_reconciliation.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_primary\regression_test_report.md,regression_test_report.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_programmatic\product_scope_reconciliation.md,product_scope_reconciliation.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_repair\addon_copy_audit.md,addon_copy_audit.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_repair\forensic_repair_report.md,forensic_repair_report.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_repair\runtime_identity_audit.md,runtime_identity_audit.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_revision\business_process_coverage.md,business_process_coverage.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_revision\dashboard_architecture_decision.md,dashboard_architecture_decision.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_revision\dashboard_object_model.md,dashboard_object_model.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_revision\dashboard_status_matrix.md,dashboard_status_matrix.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_revision\dataset_truth_audit.md,dataset_truth_audit.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_revision\file_and_record_plan.md,file_and_record_plan.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_revision\implementation_plan_v2.md,implementation_plan_v2.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_revision\kpi_visual_feasibility.md,kpi_visual_feasibility.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_revision\product_template_variant_audit.md,product_template_variant_audit.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_revision\risk_register_v2.md,risk_register_v2.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_revision\rollback_plan_v2.md,rollback_plan_v2.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_revision\standard_dashboard_policy.md,standard_dashboard_policy.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_revision\user_group_menu_strategy.md,user_group_menu_strategy.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase11_2_revision\validation_contract.md,validation_contract.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase8\cleanup_candidate_manifest.md,cleanup_candidate_manifest.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase8\current_state_audit.md,current_state_audit.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase9\implementation_plan.md,implementation_plan.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase9\phase9_completion_report.md,phase9_completion_report.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
docs\phase9\transaction_data_contract.md,transaction_data_contract.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
ERP-BIDSS\docs\phase9\bidss_cleanup_manifest.md,bidss_cleanup_manifest.md,Phase Progress Note,False,True,True,False,docs/history/BUILD_HISTORY.txt,CONSOLIDATE_TO_TXT,True,Technical facts consolidated to TXT
